dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu
KidneyCyst,fold_0,cyst_010.nii.gz,81.71482263057608,24.69343851874434,10.246812227074235
KidneyCyst,fold_0,cyst_011.nii.gz,37.514998638973765,9.593678619008623,21.457286432160803
KidneyCyst,fold_0,cyst_016.nii.gz,87.6380282120926,23.415719291157515,15.519717300010242
KidneyCyst,fold_0,cyst_018.nii.gz,34.5776721007313,16.315659324734494,16.44387405886379
KidneyCyst,fold_0,cyst_020.nii.gz,24.578438490376666,38.210428254914056,13.474866524449892
KidneyCyst,fold_0,cyst_030.nii.gz,221.89056227161802,16.127386763450566,14.972367438386856
KidneyCyst,fold_0,cyst_033.nii.gz,95.65059251637237,29.718935699511245,16.892134268537074
KidneyCyst,fold_0,cyst_035.nii.gz,336.97629276030875,18.389172476368177,10.401301518438178
KidneyCyst,fold_0,cyst_040.nii.gz,91.87301218659947,47.76466171751872,16.741725154699115
KidneyCyst,fold_0,cyst_047.nii.gz,147.21634128284927,19.058593436679825,35.5919540229885
KidneyCyst,fold_0,cyst_050.nii.gz,170.20101644390002,58.114679228573436,11.928633385147844
KidneyCyst,fold_0,cyst_052.nii.gz,131.92305044382243,19.72294378669063,23.247386759581882
KidneyCyst,fold_0,cyst_053.nii.gz,128.34935412955863,32.50105238019826,21.998672529660666
KidneyCyst,fold_0,cyst_054.nii.gz,70.26478936850235,52.5789866659028,11.483288484269295
KidneyCyst,fold_0,cyst_055.nii.gz,160.49790830764584,14.3806466706546,14.084789311408016
KidneyCyst,fold_0,cyst_057.nii.gz,59.00042627529074,4.340876839958264,11.76923076923077
KidneyCyst,fold_0,cyst_067.nii.gz,33.95080881461516,51.018249080580745,16.41512591210841
KidneyCyst,fold_0,cyst_071.nii.gz,1.9548273830843095,30.34275979155349,17.569871733050437
KidneyCyst,fold_0,cyst_073.nii.gz,239.82580173409158,32.354836695401794,5.271393073458611
KidneyCyst,fold_0,cyst_085.nii.gz,176.3759167651083,1.72586442169111,44.333333333333336
KidneyCyst,fold_0,cyst_087.nii.gz,97.52475356777857,20.905769478364096,28.789004029936674
KidneyCyst,fold_0,cyst_097.nii.gz,137.03437953981575,22.185827090489457,10.927112000667167
KidneyCyst,fold_0,cyst_099.nii.gz,105.55933078595659,41.63455957859617,7.390085776979852
KidneyCyst,fold_0,cyst_100.nii.gz,157.38418623933543,39.8475928942575,22.704415913408948
KidneyCyst,fold_0,cyst_101.nii.gz,243.22559974565462,7.125559347670795,-5.678260869565217
KidneyCyst,fold_0,cyst_112.nii.gz,153.9361222998623,33.15072542237656,15.962556447566483
KidneyCyst,fold_0,cyst_113.nii.gz,195.38340043971579,54.22377928900955,13.828414408531941
KidneyCyst,fold_0,cyst_120.nii.gz,237.22826026441652,54.302161338514416,-7.708064712322102
KidneyCyst,fold_0,cyst_127.nii.gz,169.3636424042992,47.57599912058316,35.97793667453862
KidneyCyst,fold_0,cyst_128.nii.gz,85.5545641780869,34.68725551972621,22.377210778193923
KidneyCyst,fold_0,cyst_130.nii.gz,116.8349602195354,20.33831273410256,25.466544607190414
KidneyCyst,fold_0,cyst_132.nii.gz,181.04647871089148,45.09231396856674,3.4732466816699583
KidneyCyst,fold_0,cyst_134.nii.gz,177.37146425585908,22.293734947391332,20.05438066465257
KidneyCyst,fold_0,cyst_144.nii.gz,216.9889728263718,52.23649467388621,14.996248737555907
KidneyCyst,fold_0,cyst_145.nii.gz,31.11187950104869,30.951710315503114,11.49176343505266
KidneyCyst,fold_0,cyst_147.nii.gz,130.18635084462747,54.04195450765991,11.584992262700974
KidneyCyst,fold_0,cyst_161.nii.gz,270.04822701768717,61.40332543674242,17.78430575180067
KidneyCyst,fold_0,cyst_162.nii.gz,254.60461146170343,26.15564829800291,24.487385860867928
KidneyCyst,fold_0,cyst_163.nii.gz,70.81988774816205,17.83394905407888,48.15702306079665
KidneyCyst,fold_0,cyst_167.nii.gz,239.5504039622272,47.31199701210223,-0.8621119614756213
KidneyCyst,fold_0,neg_013.nii.gz,,36.3354186341028,-2.7539235755714775
KidneyCyst,fold_0,neg_014.nii.gz,,41.11616679660766,6.363544055027841
KidneyCyst,fold_0,neg_041.nii.gz,,31.04914916186969,10.922077280363672
KidneyCyst,fold_0,neg_045.nii.gz,,46.38517521749498,12.031395616406835
KidneyCyst,fold_0,neg_047.nii.gz,,25.126796060076945,6.070791917494984
KidneyCyst,fold_0,neg_051.nii.gz,,17.470273472386985,6.174742656289229
KidneyCyst,fold_0,neg_053.nii.gz,,5.951775952186339,31.369230769230768
KidneyCyst,fold_0,neg_055.nii.gz,0.0,0.0,
KidneyCyst,fold_0,neg_057.nii.gz,,47.531493061558784,-3.389174176563336
KidneyCyst,fold_0,neg_059.nii.gz,,7.673390551533734,2.0879478827361564
KidneyCyst,fold_0,neg_062.nii.gz,,10.041592006042414,46.54351145038168
KidneyCyst,fold_0,neg_063.nii.gz,,31.4964702131441,12.185353535353535
KidneyCyst,fold_0,neg_072.nii.gz,,8.093485482482937,-6.780691299165674
KidneyCyst,fold_0,neg_074.nii.gz,,27.315904570636402,13.808436098654708
KidneyCyst,fold_0,neg_088.nii.gz,,9.6475193447247,26.495793901156677
KidneyCyst,fold_0,neg_095.nii.gz,,16.998234305278,13.83295389869095
KidneyCyst,fold_0,neg_107.nii.gz,,43.75052207637071,-3.4302809949194577
KidneyCyst,fold_0,neg_112.nii.gz,,37.8480893415171,38.37836360474073
KidneyCyst,fold_1,cyst_009.nii.gz,148.2807584743963,28.413177781999654,17.93866895776882
KidneyCyst,fold_1,cyst_014.nii.gz,99.93936468281875,39.04056054639267,36.80879328684553
KidneyCyst,fold_1,cyst_015.nii.gz,109.26012389745297,36.19289610734641,19.259261793178943
KidneyCyst,fold_1,cyst_017.nii.gz,196.33883704933965,43.79031236241522,-5.7764309764309765
KidneyCyst,fold_1,cyst_019.nii.gz,1.6971190282375637,16.878671717327457,14.9896331738437
KidneyCyst,fold_1,cyst_027.nii.gz,5.491581803371866,45.71033028989232,3.391475742072613
KidneyCyst,fold_1,cyst_031.nii.gz,99.07108538404093,67.93609174546923,4.941450948062655
KidneyCyst,fold_1,cyst_039.nii.gz,94.07070299159415,12.493768571320045,28.643290627107216
KidneyCyst,fold_1,cyst_042.nii.gz,69.6276107137989,21.63713256844466,9.917304946124887
KidneyCyst,fold_1,cyst_044.nii.gz,1.6105890139469274,33.20812920421114,16.357512209135304
KidneyCyst,fold_1,cyst_049.nii.gz,131.59958547849064,12.06049176691134,24.856071964017993
KidneyCyst,fold_1,cyst_066.nii.gz,154.0135790495293,45.814565290876054,-9.915790669924428
KidneyCyst,fold_1,cyst_068.nii.gz,143.59924341168977,53.943945956143565,17.774554268839637
KidneyCyst,fold_1,cyst_070.nii.gz,188.32593955603377,18.44664573259955,26.301157503100455
KidneyCyst,fold_1,cyst_075.nii.gz,151.629062734454,15.947503991287196,37.63762315270936
KidneyCyst,fold_1,cyst_089.nii.gz,159.83658340507517,10.327566877032895,36.57832744405182
KidneyCyst,fold_1,cyst_103.nii.gz,92.5202342075211,44.126941550611726,28.811474273034072
KidneyCyst,fold_1,cyst_106.nii.gz,112.20357539752025,38.61035593091198,22.0270874343832
KidneyCyst,fold_1,cyst_110.nii.gz,191.13161319008555,11.157657642039002,19.73857302118172
KidneyCyst,fold_1,cyst_115.nii.gz,155.1125741334444,32.93606392833882,22.715538973479884
KidneyCyst,fold_1,cyst_140.nii.gz,225.91592349161905,46.883233269067425,-5.143695205814295
KidneyCyst,fold_1,cyst_148.nii.gz,157.9032406137964,34.55963306545804,14.036182445381373
KidneyCyst,fold_1,cyst_151.nii.gz,137.5313102407067,13.739485958354585,59.53300561797753
KidneyCyst,fold_1,cyst_152.nii.gz,236.50832551900263,27.54670378824815,24.10988296488947
KidneyCyst,fold_1,cyst_159.nii.gz,189.20735795725017,21.927444827117615,33.83736342468207
KidneyCyst,fold_1,cyst_160.nii.gz,38.550190231099656,42.71973457880965,16.58717930495345
KidneyCyst,fold_1,cyst_165.nii.gz,175.30505553384413,28.012852096300687,10.641090802463102
KidneyCyst,fold_1,neg_005.nii.gz,,15.258587130250742,-4.67109634551495
KidneyCyst,fold_1,neg_006.nii.gz,,3.0395327744811427,1.8125
