dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu
KidneyStones,fold_0,neg_010.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_011.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_016.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_018.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_020.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_030.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_033.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_035.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_040.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_047.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_050.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_052.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_053.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_054.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_055.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_057.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_067.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_071.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_073.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_085.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_087.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_097.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_099.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_100.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_101.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_112.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_113.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_120.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_127.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_128.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_130.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_132.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_134.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_144.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_145.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_147.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_161.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_162.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_163.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_167.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_183.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_184.nii.gz,0.0,0.0,
KidneyStones,fold_0,neg_211.nii.gz,0.0,0.0,
KidneyStones,fold_0,stones_000.nii.gz,,0.0,
KidneyStones,fold_0,stones_002.nii.gz,,0.0,
KidneyStones,fold_0,stones_006.nii.gz,,0.0,
KidneyStones,fold_0,stones_008.nii.gz,,0.0,
KidneyStones,fold_0,stones_010.nii.gz,,0.0,
KidneyStones,fold_0,stones_012.nii.gz,,0.0,
KidneyStones,fold_0,stones_014.nii.gz,,0.0,
KidneyStones,fold_0,stones_017.nii.gz,,0.0,
KidneyStones,fold_0,stones_018.nii.gz,,0.0,
KidneyStones,fold_0,stones_027.nii.gz,,0.0,
KidneyStones,fold_0,stones_029.nii.gz,,0.0,
KidneyStones,fold_0,stones_043.nii.gz,,0.0,
KidneyStones,fold_0,stones_050.nii.gz,,0.0,
KidneyStones,fold_0,stones_062.nii.gz,,0.0,
KidneyStones,fold_0,stones_067.nii.gz,,0.0,
KidneyStones,fold_1,neg_009.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_014.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_015.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_017.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_019.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_027.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_031.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_039.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_042.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_044.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_049.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_066.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_068.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_070.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_075.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_089.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_103.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_106.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_110.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_115.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_140.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_148.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_151.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_152.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_159.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_160.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_165.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_175.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_176.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_180.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_182.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_187.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_191.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_193.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_195.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_203.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_205.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_209.nii.gz,0.0,0.0,
KidneyStones,fold_1,neg_213.nii.gz,0.0,0.0,
KidneyStones,fold_1,stones_004.nii.gz,,0.0,
KidneyStones,fold_1,stones_007.nii.gz,,0.0,
KidneyStones,fold_1,stones_023.nii.gz,,0.0,
KidneyStones,fold_1,stones_024.nii.gz,,0.0,
KidneyStones,fold_1,stones_025.nii.gz,,0.0,
KidneyStones,fold_1,stones_028.nii.gz,,0.0,
KidneyStones,fold_1,stones_030.nii.gz,,0.0,
KidneyStones,fold_1,stones_031.nii.gz,,0.0,
KidneyStones,fold_1,stones_039.nii.gz,,0.0,
KidneyStones,fold_1,stones_041.nii.gz,,0.0,
KidneyStones,fold_1,stones_044.nii.gz,,0.0,
KidneyStones,fold_1,stones_049.nii.gz,,0.0,
KidneyStones,fold_1,stones_057.nii.gz,,0.0,
KidneyStones,fold_1,stones_060.nii.gz,,0.0,
